MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,MiscVal_log,PoolArea_log,LotArea_log,3SsnPorch_log,LowQualFinSF_log,BsmtFinSF2_log,ScreenPorch_log,BsmtHalfBath_log,EnclosedPorch_log,MasVnrArea_log,OpenPorchSF_log,LotFrontage_log,BsmtFinSF1_log,WoodDeckSF_log,TotalBsmtSF_log,1stFlrSF_log,GrLivArea_log,WoodDeckSF_add_OpenPorchSF,1stFlrSF_add_2ndFlrSF,GarageArea_add_TotalBsmtSF,GrLivArea_add_TotalBsmtSF,GrLivArea_add_GarageArea,MasVnrArea_add_TotalBsmtSF,TotalBsmtSF_add_1stFlrSF,KitchenQual_add_BsmtQual,ExterQual_add_KitchenQual,ExterQual_add_BsmtQual,OverallQual_add_KitchenQual,OverallQual_add_ExterQual,BsmtQual_multiply_TotalBsmtSF,ExterQual_multiply_GrLivArea,KitchenQual_multiply_GrLivArea,KitchenQual_multiply_TotalBsmtSF,KitchenQual_multiply_BsmtQual,ExterQual_multiply_TotalBsmtSF,ExterQual_multiply_BsmtQual,ExterQual_multiply_KitchenQual,OverallQual_multiply_GrLivArea,TotalBaths_All,TotalRooms_All,PropertyAge,GarageAge,RemodAge,YearsSinceRemod,ImprovementGap,LifecycleRatio,EffectiveAge,WoodDeckSF_add_OpenPorchSF_log,1stFlrSF_add_2ndFlrSF_log,GrLivArea_add_TotalBsmtSF_log,MasVnrArea_add_TotalBsmtSF_log,TotalBsmtSF_add_1stFlrSF_log,BsmtQual_multiply_TotalBsmtSF_log,ExterQual_multiply_GrLivArea_log,KitchenQual_multiply_GrLivArea_log,KitchenQual_multiply_TotalBsmtSF_log,ExterQual_multiply_TotalBsmtSF_log,ExterQual_multiply_KitchenQual_log,OverallQual_multiply_GrLivArea_log,ImprovementGap_log,LifecycleRatio_log,GrLivArea_per_BedroomAbvGr_log,TotalBsmtSF_per_BedroomAbvGr_log,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,Alley_None,Alley_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,PavedDrive_P,PavedDrive_Y,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,KitchenAbvGr_log,IsRemodeled,RecentRemod,VeryRecentRemod,TotalBsmtSF_per_LotArea,GrLivArea_per_LotArea_log,1stFlrSF_per_LotArea_log,TotalBsmtSF_per_LotArea_log,SalePrice,SalePrice_log,Id
60,65.0,8450,7,5,196.0,4,3,4,3,1,6,706.0,1,0.0,150.0,856.0,5,856,854,0,1710,3,1,4,8,0,0,2,2.0,548.0,3,3,0,61,0,0,0,0,0,0,0,2,2008,0.0,0.0,9.042040056544485,0.0,0.0,0.0,0.0,0.0,0.0,5.2832037287379885,4.127134385045092,4.189654742026425,6.561030665896573,0.0,6.75343791859778,6.75343791859778,7.444833273892193,61,1710,1404.0,2566.0,2258.0,1052.0,1712.0,8,8,8,11,11,3424.0,6840,6840,3424.0,16,3424.0,16,16,11970,3.5,11,5,5.0,5,5,0,0.0,3.5,4.127134385045092,7.444833273892193,7.8504931808711405,6.959398512133975,7.44600149832412,8.138856750696325,8.830689198760998,8.830689198760998,8.138856750696325,8.138856750696325,2.833213344056216,9.39024233725137,0.0,0.0,6.3473892096560105,5.657156633316146,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0,1,1,0.101301775147929,0.18429200078125335,0.09649291205337429,0.09649291205337429,208500,12.24769911637256,1
20,80.0,9600,6,8,0.0,3,3,4,3,4,5,978.0,1,0.0,284.0,1262.0,5,1262,0,0,1262,3,1,3,6,1,3,2,2.0,460.0,3,3,298,0,0,0,0,0,0,0,0,5,2007,0.0,0.0,9.169622538697624,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,4.394449154672439,6.88653164253051,5.700443573390687,7.141245122350491,7.141245122350491,7.141245122350491,298,1262,1722.0,2524.0,1722.0,1262.0,2524.0,7,6,7,9,9,5048.0,3786,3786,3786.0,12,3786.0,12,9,7572,2.5,10,31,31.0,31,31,0,0.0,31.0,5.700443573390687,7.141245122350491,7.83399634170946,7.141245122350491,7.83399634170946,8.526945482858915,8.239329427901795,8.239329427901795,8.239329427901795,8.239329427901795,2.302585092994046,8.932344569113823,0.0,0.0,6.044215112493511,6.044215112493511,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0,0,0,0.13145833333333334,0.12350736113886299,0.12350736113886299,0.12350736113886299,181500,12.109016442313738,2
60,68.0,11250,7,5,162.0,4,3,4,3,2,6,486.0,1,0.0,434.0,920.0,5,920,866,0,1786,3,1,4,6,1,3,2,2.0,608.0,3,3,0,42,0,0,0,0,0,0,0,9,2008,0.0,0.0,9.328212292571072,0.0,0.0,0.0,0.0,0.0,0.0,5.093750200806762,3.7612001156935624,4.23410650459726,6.18826412308259,0.0,6.825460036255307,6.825460036255307,7.488293515159428,42,1786,1528.0,2706.0,2394.0,1082.0,1840.0,8,8,8,11,11,3680.0,7144,7144,3680.0,16,3680.0,16,16,12502,3.5,10,7,7.0,6,6,1,7.0,4.8999999999999995,3.7612001156935624,7.488293515159428,7.903596289614301,6.9874902470009905,7.518064181233078,8.210939733379021,8.874168090363968,8.874168090363968,8.210939733379021,8.210939733379021,2.833213344056216,9.433723894495,0.6931471805599453,2.0794415416798357,6.39079979484061,5.729016945834743,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,1,1,0,0.08177777777777778,0.14734663232488598,0.07860577834900667,0.07860577834900667,223500,12.317171167298682,3
70,60.0,9550,7,5,0.0,3,3,3,4,1,5,216.0,1,0.0,540.0,756.0,4,961,756,0,1717,3,1,4,7,1,4,1,3.0,642.0,3,3,0,35,272,0,0,0,0,0,0,2,2006,0.0,0.0,9.164401140034736,0.0,0.0,0.0,0.0,0.0,5.60947179518496,0.0,3.58351893845611,4.110873864173311,5.37989735354046,0.0,6.6293632534374485,6.8690144506657065,7.4489161025442,35,1717,1398.0,2473.0,2359.0,756.0,1717.0,7,7,6,11,10,2268.0,5151,6868,3024.0,12,2268.0,9,12,12019,2.0,11,91,8.0,36,36,55,1.6545454545454545,91.0,3.58351893845611,7.4489161025442,7.813591552952433,6.6293632534374485,7.4489161025442,7.727094484779841,8.54714026778419,8.834773814213882,8.014666370464942,7.727094484779841,2.5649493574615367,9.394327208089198,4.02535169073515,0.9762734364758655,6.3514672811393895,5.53338948872752,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6931471805599453,1,0,0,0.07916230366492147,0.16533694468939,0.09588117334857846,0.07618509541339365,140000,11.849404844423074,4
60,84.0,14260,8,5,350.0,4,3,4,3,3,6,655.0,1,0.0,490.0,1145.0,5,1145,1053,0,2198,4,1,4,9,1,3,2,3.0,836.0,3,3,192,84,0,0,0,0,0,0,0,12,2008,0.0,0.0,9.565283817736766,0.0,0.0,0.0,0.0,0.0,0.0,5.860786223465865,4.442651256490317,4.442651256490317,6.486160788944089,5.262690188904886,7.044032897274685,7.044032897274685,7.695757990554761,276,2198,1981.0,3343.0,3034.0,1495.0,2290.0,8,8,8,12,12,4580.0,8792,8792,4580.0,16,4580.0,16,16,17584,3.5,14,8,8.0,8,8,0,0.0,5.6,5.6240175061873385,7.695757990554761,8.114922974204593,7.310550158534422,7.736743682453495,8.429672593886743,9.081711229379001,9.081711229379001,8.429672593886743,8.429672593886743,2.833213344056216,9.774801544908083,0.0,0.0,6.310826956162734,5.660352916728865,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0,1,0,0.0802945301542777,0.1433532661973713,0.07723371706248137,0.07723371706248137,250000,12.429220196836384,5
50,85.0,14115,5,5,0.0,3,3,4,3,1,6,732.0,1,0.0,64.0,796.0,5,796,566,0,1362,1,1,3,5,0,0,1,2.0,480.0,3,3,40,30,0,320,0,0,0,3,700,10,2009,6.55250788703459,0.0,9.55506418479516,5.771441123130016,0.0,0.0,0.0,0.0,0.0,0.0,3.4339872044851463,4.454347296253507,6.597145701886651,3.713572066704308,6.680854678790215,6.680854678790215,7.217443431696533,70,1362,1276.0,2158.0,1842.0,796.0,1592.0,7,6,7,8,8,3184.0,4086,4086,2388.0,12,2388.0,12,9,6810,2.5,6,16,16.0,14,14,2,8.0,16.0,4.2626798770413155,7.217443431696533,7.677400430514807,6.680854678790215,7.373374309910049,8.066207568006265,8.315566483564277,8.315566483564277,7.77863014732581,7.77863014732581,2.302585092994046,8.826294231241318,1.0986122886681098,2.1972245773362196,7.217443431696533,6.680854678790215,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,1,0,0,0.05639390719093163,0.0921169892251699,0.054861133903317726,0.054861133903317726,143000,11.870606902224589,6
20,75.0,10084,8,5,186.0,4,3,5,3,3,6,1369.0,1,0.0,317.0,1686.0,5,1694,0,0,1694,3,1,4,7,1,4,2,2.0,636.0,3,3,255,57,0,0,0,0,0,0,0,8,2007,0.0,0.0,9.218804450388312,0.0,0.0,0.0,0.0,0.0,0.0,5.231108616854587,4.060443010546419,4.330733340286331,7.222566018822171,5.545177444479562,7.430707082545968,7.43543801981455,7.43543801981455,312,1694,2322.0,3380.0,2330.0,1872.0,3380.0,9,8,9,12,12,8430.0,6776,6776,6744.0,20,6744.0,20,16,13552,3.0,11,3,3.0,2,2,1,3.0,2.0999999999999996,5.746203190540153,7.43543801981455,8.125926802707886,7.5352967024440884,8.125926802707886,9.039670667922676,8.821289805136113,8.821289805136113,8.816556768641856,8.816556768641856,2.833213344056216,9.514363204016016,0.6931471805599453,1.3862943611198906,6.338004976566117,6.333279628139691,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,1,1,1,0.1671955573185244,0.15528337519670563,0.15528337519670563,0.15460391194651196,307000,12.63460628389302,7
60,80.0,10382,7,6,240.0,3,3,4,3,2,5,859.0,4,32.0,216.0,1107.0,5,1107,983,0,2090,3,1,3,7,2,3,2,2.0,484.0,3,3,235,204,228,0,0,0,0,0,350,11,2009,5.860786223465865,0.0,9.247925132303454,0.0,0.0,3.49650756146648,0.0,0.0,5.43372200355424,5.484796933490655,5.3230099791384085,4.394449154672439,6.756932389247553,5.4638318050256105,7.010311867307229,7.010311867307229,7.645397699428633,439,2090,1591.0,3197.0,2574.0,1347.0,2214.0,7,6,7,10,10,4428.0,6270,6270,3321.0,12,3321.0,12,9,14630,3.5,12,36,36.0,36,36,0,0.0,36.0,6.0867747269123065,7.645397699428633,8.0702808933939,7.206377291472252,7.703007682479236,8.395929103923198,8.74369111054302,8.74369111054302,8.10832229017324,8.10832229017324,2.302585092994046,9.590897844378162,0.0,0.0,6.54774143377789,5.91350300563827,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0,0,0,0.10662685417068002,0.1834125943504381,0.10131651846619047,0.10131651846619047,200000,12.206077645517674,8
50,51.0,6120,7,5,0.0,3,3,3,3,1,1,0.0,1,0.0,952.0,952.0,4,1022,752,0,1774,2,2,3,8,2,3,1,2.0,468.0,2,3,90,0,205,0,0,0,0,0,0,4,2008,0.0,0.0,8.71948076085107,0.0,0.0,0.0,0.0,0.0,5.327876168789581,0.0,0.0,3.951243718581427,0.0,4.51085950651685,6.859614903654202,6.930494765951626,7.4815557019095165,90,1774,1420.0,2726.0,2242.0,952.0,1974.0,6,6,6,10,10,2856.0,5322,5322,2856.0,9,2856.0,9,9,12418,2.0,12,77,77.0,58,58,19,4.052631578947368,77.0,4.51085950651685,7.4815557019095165,7.910957382845589,6.859614903654202,7.5883236773352225,7.957527402230773,8.579792333172758,8.579792333172758,7.957527402230773,7.957527402230773,2.302585092994046,9.426982836948033,2.995732273553991,1.6199092123013956,6.78897174299217,6.1675164908883415,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0986122886681098,1,0,0,0.15555555555555556,0.25454088071642067,0.15443075264802197,0.1445812288111076,129900,11.774527900858468,9
190,50.0,7420,5,6,0.0,3,3,3,3,1,6,851.0,1,0.0,140.0,991.0,5,1077,0,0,1077,2,2,3,5,2,3,2,1.0,205.0,4,3,0,4,0,0,0,0,0,0,0,1,2008,0.0,0.0,8.912069097970134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341005,3.9318256327243257,6.747586526829315,0.0,6.899723107284872,6.982862751468942,6.982862751468942,4,1077,1196.0,2068.0,1282.0,991.0,2068.0,6,6,6,8,8,2973.0,3231,3231,2973.0,9,2973.0,9,9,5385,2.0,9,69,69.0,58,58,11,6.2727272727272725,69.0,1.6094379124341003,6.982862751468942,7.634820677745543,6.899723107284872,7.634820677745543,7.9976631270201,8.080856419640986,8.080856419640986,7.9976631270201,7.9976631270201,2.302585092994046,8.591558273371545,2.4849066497880004,1.984131361875511,6.290642784698189,6.2075834834852275,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,1,0,0,0.1335579514824798,0.1355341028421152,0.1355341028421152,0.12536131580101117,118000,11.678448377988165,10
