iter	RMSE
0	0.3928288747
1	0.3891403407
2	0.3852359873
3	0.3815786658
4	0.3779132535
5	0.374588095
6	0.3712194665
7	0.3676307943
8	0.3640616578
9	0.3606897689
10	0.3571886954
11	0.3540007187
12	0.3506302778
13	0.3474884226
14	0.3442134221
15	0.3411920608
16	0.3378818463
17	0.3349703687
18	0.3319131995
19	0.3291722595
20	0.3261006584
21	0.3231576691
22	0.3202660552
23	0.3172570799
24	0.3145432315
25	0.3116423393
26	0.3089219277
27	0.3061724917
28	0.3037630298
29	0.3013634988
30	0.2990086732
31	0.2964088249
32	0.2937992546
33	0.2913676111
34	0.2889168826
35	0.2865190879
36	0.2841911693
37	0.2817731898
38	0.2795012644
39	0.2772762402
40	0.2749268596
41	0.2727692881
42	0.270567037
43	0.2683257717
44	0.2661212078
45	0.2641015387
46	0.2620867758
47	0.2600000892
48	0.2581128117
49	0.256275422
50	0.2543307583
51	0.2523278293
52	0.2504548988
53	0.2485359492
54	0.246712627
55	0.2449027275
56	0.2430724765
57	0.2412730961
58	0.2394058017
59	0.2376818589
60	0.2360855652
61	0.2344610289
62	0.2328136692
63	0.2311271784
64	0.2293775361
65	0.227831365
66	0.2261739994
67	0.2246375088
68	0.2231568151
69	0.2216459057
70	0.2200909059
71	0.218670686
72	0.2172137924
73	0.2158149888
74	0.2144625714
75	0.2130316213
76	0.2116200465
77	0.2103121187
78	0.2089733427
79	0.2075734259
80	0.2062782168
81	0.2050123468
82	0.2037317249
83	0.2024583702
84	0.2012439916
85	0.2000189296
86	0.1987316049
87	0.1976134597
88	0.1964622809
89	0.1953864169
90	0.1941850248
91	0.1932003456
92	0.192075467
93	0.1910026606
94	0.1898634102
95	0.1886716121
96	0.1876252882
97	0.1865759137
98	0.1855161981
99	0.1845719617
100	0.1835922417
101	0.1826665
102	0.1815900219
103	0.1806626648
104	0.1796651735
105	0.1787708308
106	0.1779293084
107	0.1770372679
108	0.1761767043
109	0.1753154169
110	0.1745600377
111	0.1737363422
112	0.1728603707
113	0.1720606281
114	0.1712028507
115	0.1703797856
116	0.1694778715
117	0.1686883547
118	0.1679308282
119	0.1671223075
120	0.1662975278
121	0.1656009998
122	0.1649034901
123	0.1642004742
124	0.1634321199
125	0.1626976875
126	0.1619840556
127	0.1613120455
128	0.1607008386
129	0.1599851415
130	0.1593095984
