iter	Passed	Remaining
0	62	61939
1	65	32632
2	67	22475
3	69	17367
4	72	14422
5	74	12389
6	76	10871
7	79	9848
8	82	9048
9	84	8389
10	87	7826
11	89	7350
12	91	6977
13	94	6678
14	97	6405
15	99	6144
16	103	5972
17	106	5793
18	108	5612
19	112	5489220	114	5333
21	117	5212
22	119	5080
23	121	4949
24	123	4816
25	126	4720
26	127	4609
27	130	4513
28	132	4422
29	133	4326
30	135	4243
31	137	4160332	139	4091
33	141	4011334	143	3943335	144	3860336	146	380137	148	3753
38	150	3709
39	153	3680
40	155	3645
41	158	3619
42	161	3594
43	163	3551
44	166	3525
45	167	3482
46	170	3449
47	171	3408
48	174	3387
49	177	3368
50	179	3338
51	181	3313
52	183	3285
53	186	3264
54	188	3232
55	189	3199
56	191	3168
57	193	3142
558	196	3130559	198	3111660	200	3088661	203	3075662	205	3058663	207	3031664	209	3011665	211	2999666	213	2973667	215	295468	217	2937
69	220	2925
70	222	2906
71	224	2895
72	227	2886
73	229	2873
74	231	2854
75	233	2836
776	235	2825777	238	2814778	240	2805779	242	2790880	244	2779881	246	2763882	248	2750883	250	2733884	252	2719885	255	2714886	257	2698887	259	2685888	261	2671889	262	2655990	265	2652
91	268	2646
92	270	2637
93	273	2631
94	274	2616
95	276	2606
96	279	2598
97	281	2590
98	283	2578
99	285	2567
100	287	2561
101	290	2556
102	292	2548
103	294	2535
104	296	2525
105	298	2515
106	300	2507
107	302	2496
108	304	2487
109	306	2477
110	308	2468
111	310	2461
112	312	2451
113	314	2447
114	317	2442
115	319	2437
116	322	2431
117	324	2423
118	326	2417
119	328	2412
120	331	2405
121	333	2398
122	335	2392
123	337	2386
124	339	2379
125	342	2376
126	344	2371
127	346	2361
128	348	2354
129	350	2348
130	352	2339
131	354	2329
132	356	2324
133	359	2325
134	361	2319
135	364	2313
136	366	2307
137	368	2300
138	370	2293
139	371	2284
140	374	2278
141	375	2271
142	377	2264
143	379	2258
144	381	2251
145	383	2245
146	385	2237
147	387	2232
148	389	2224
149	391	2218
150	393	2212
151	395	2206
152	397	2199
153	399	2194
154	401	2190
155	404	2187
